级别	题型	text
HSK6	单选	丁俊晖虽然是首次参加这项顶级赛事，但他表现得非常镇定，完全是名大赛型选手，具有非常大的潜力。丁俊晖因父亲经营台球生意而与这项运动结缘，从9岁开始接受正规训练，2002年开始在国际赛场上展示自己的台球天赋。HSK5	完形	有一个孩子跑到山上，对着山谷喊了一声：“喂……”声音刚落，从四面八方传来了阵阵“喂……”的回声。大山答应了，孩子很惊讶，又喊了一声：“你是谁？”大山也问：“你是谁？孩子喊：“为什么不告诉我？”大山也喊：“为什么不告诉我？”孩子忍不住生气了，喊道：“我恨你！”他哪里知道这一喊不得了，整个世界传来的声音都是：“我恨你，我恨你……孩子哭着跑回家，告诉了妈妈。妈妈说：“孩子，你回去对着大山喊‘我爱你’，试试看结果会怎样，好吗？”孩子又跑到山上。果然，这次孩子被包围在“我爱你，我爱你”的回声中。孩子笑了，群山笑了。有时候，我们总是在怪别人的态度太冷漠、自己的运气太不好，却不知你是对方一面最好的镜子。如遇到这样的情况，不妨问问自己做了什么。想让别人爱你，你得先去爱别人。
HSK3	排序	李小姐的头发是黑色的。
HSK3	排序	你脚下的路还很长。
HSK2	对话填空	女：对不起，我不能和你一起去买自行车了。男：没关系,我知道你很忙。
HSK4	排序	这场降水的影响范围非常大。
HSK4	句子填空	跟以前比，我现在的普通话讲得好多了。
HSK5	排序	他们从事服装行业。
HSK3	排序	你敢不敢用冷水洗澡？
HSK2	句子填空	我来北京的第一天就认识他了。
HSK2	句子填空	我已经从家里出来了，10分钟后到。
HSK4	排序	这是专为老年人提供的椅子。
HSK3	排序	河上有一条小船。
HSK3	句子填空	明天上午考数学，你复习得怎么样了？
HSK4	排序	我孙子是去年秋天出生的。
HSK6	单选	九寨沟是水的天地。九寨沟的水是人间最清澈的水，无论是宁静的湖泊，还是飞泻的瀑布，都是那么神奇迷人，令人流连忘返。水构成了九寨沟最富魅力的景色，是九寨沟的灵魂。
HSK6	单选	川菜品种丰富、味道多变，享有“一菜一格，百菜百味”的美誉。川菜的这种独特的风格也赢得国内外人们的青睐，许多人发出“食在中国，味在四川”的赞叹。
HSK2	句子填空	星期天？我没什么事情，我准备在家洗衣服。
HSK1	对话填空	女：谢谢你请我看电影。男：不客气。
HSK3	排序	她忘了带护照。
HSK3	排序	他的汉字写得很漂亮。
HSK3	句子填空	服务员，请你再给我拿一双筷子。
HSK3	对话填空	我的飞机票呢？怎么突然找不到了？是不是和报纸放一起了？
HSK4	排序	你把窗户关了吗？
HSK4	排序	你最好别告诉他答案。
HSK2	对话填空	女：你好，请问钱先生在家吗？男：他出去了，您有什么事情？
HSK3	对话填空	那本书你还了？对，没什么意思，而且很多地方看不懂。
HSK1	句子填空	爸，下雨了，我们怎么回家？坐出租车吗？
HSK3	对话填空	请问，现在是十一点吗？现在十一点十五了，您的表慢了一刻。
HSK3	句子填空	有些事情看上去很简单，但要做好，其实不容易。
HSK3	句子填空	会议9点半能结束吗？
HSK4	句子填空	顺便帮我买一盒牛奶吧。
HSK4	排序	他的中文说得很流利。
HSK3	排序	老年人要关心自己的腿脚。
HSK5	完形	春秋时期，齐国和楚国是著名的强国。有一回，齐国的国王派自己的大臣晏子访问楚国。楚王想趁这个机会，找一个办法让齐国的使者丢脸，借此来显示楚国的强大。楚王了解到晏子身材矮小，就命令手下的人在城门旁边开了一个很低的洞。晏子来到楚国的时候，楚王命令守门的士兵关闭了城门，让晏子从旁边的洞口爬进去。晏子看到这样的情景，明白了楚王的目的，他思考了一小会儿，便对接待的人说：“这是一个狗洞，不是城门。我要是访问狗国，当然可以爬狗洞。请你们替我问一下楚王，我来访问的国家到底是楚国还是狗国？”楚王听了士兵的报告，只好命令打开城门，迎接晏子进城。
HSK3	对话填空	地图上这儿有条河，怎么没看见啊？你看错了，还在前面呢。
HSK4	句子填空	飞机上禁止使用手机，飞行过程中手机也要关上。
HSK4	句子填空	你去买啤酒吗？
HSK1	句子填空	我朋友在前面那个商店工作。
HSK6	单选	中国菜讲究色香味，倘若再有个好名字，无疑就更完美了。所以有修养的烹饪大师，给自己创造的新菜起名，会格外注意它的文化内涵。
HSK4	排序	这场足球赛马上就要结束了。
HSK1	句子填空	能来这儿学习汉语，我很高兴。
HSK4	对话填空	你们学校的硕士和博士研究生一共有多少人？准确数字我不太清楚，大概有三四千吧。
HSK5	完形	有一个年轻人在一家公司做得很出色，他为自己设计了一个美好的未来，对前途充满信心。然而这家公司突然因为某些原因破产了，这位青年变得很悲观，认为自己是世界上最不幸、最倒霉的人。但是他的经理，一位中年人拍了拍他的肩说：“你很幸运，小伙子。“幸运？”青年人叫道。“对，很幸运！经理重复了一遍，他解释道：“凡是青年时期受过挫折的人都很幸运，因为你可以学到如何坚强。现在重新开始，一点儿都不晚。
HSK5	完形	警察站在一个新的路口，准备迎接第一辆通过的汽车。市政府规定，第一辆汽车的驾驶者，可获得1000 元的奖金。一辆汽车飞快地开到这里，警察向驾驶者宣布了这个决定后，顺便问了一句：“先生，您得到了这笔钱，准备用它来做什么？驾驶者不假思索地答道：“首先，我要去领一个驾驶执照。坐在旁边的妻子一听，连忙向警察解释说：“警官先生，我丈夫今天酒喝多了，说话总是语无伦次的。坐在后座上的、耳朵有问题的妈妈生气地补充道：“你看，我早就知道，你偷了汽车是逃不了多远的……
HSK4	排序	代表们决定结束会议。
HSK6	单选	没有人喜欢和不快乐的人在一起，这主要是因为在这样一个时代，每个人都面临着一堆大大小小的问题，他没有时间更没有精力来倾听你的烦恼。你逞一时之快，希望他变成你情绪垃圾的接收站，你轻松了，但久而久之，只能让他对你敬而远之。
HSK2	对话填空	男：房间里有人吗？女：请进，先生，您找谁？
HSK5	完形	人的一生，就像乘坐一辆公交车。我们知道它有起点和终点，却无法预知沿途的经历。有的人行程长，有的人行程短。有的人很从容，可以欣赏窗外的景色。有的人很窘迫，总处于拥挤之中。要想获得舒适与优雅，座位必不可少。有的人很幸运，一上车就有座。有的人很倒霉，即使全车的人都坐下了，他还站着。有时别处的座位不断空出来，唯独身边这个毫无动静。而当他下定决心走向别处，刚才那个座位的人却正好离开。有的人用了种种的方式，经历了长长的等待，终于可以坐下，但这时他已经到站了。
HSK2	句子填空	火车站在路的左边。
HSK3	句子填空	这次出去旅游，一共去了7个城市，花了一万多块钱。
HSK3	对话填空	牛奶呢？一定是被猫喝了。
HSK4	排序	哥哥兴奋得睡不着觉。
HSK3	对话填空	A：8年了，她终于同意跟我结婚了。B: 我真为你高兴！
HSK2	句子填空	这块儿手表是他妻子的。
HSK3	排序	我们先看看菜单。
HSK5	排序	一个拥抱比什么安慰的话都温暖。
HSK3	对话填空	A：晚上在哪儿见面？B:就上次我们去过的那个地方，那儿附近有一家咖啡馆很安静。
HSK5	排序	春节是一个传统的节日。
HSK4	排序	教授竟然把这次机会放弃了。
HSK4	句子填空	刚才听广播说明天可能会下大雨，足球比赛恐怕要推迟了。
HSK6	单选	电影最大的乐趣，在于营造出一个独具魅力的光影世界，在这个世界里，不仅可以使人得到放松和娱乐，更可以有所感悟和回味，充分体会到“电影是浓缩的人生”这一特点。
HSK2	句子填空	天阴了，可能要下雪。
HSK2	句子填空	别说话，听听她怎么回答这个题。
HSK3	句子填空	爸爸，您每天喝杯红葡萄酒，对健康很有帮助。
HSK4	排序	现代汉语词典是一本工具书。
HSK4	排序	钥匙在塑料袋里。
HSK5	完形	医生为了说明饮酒的坏处，把两条一样的小虫分别放进装酒和装水的瓶子里。放在酒里的那条小虫很快就死了，而放在水里的那条一点儿事也没有。医生对周围的病人说：“看见了吧，你们从这个现象中明白了什么？”这时，一个病人站起来，认真回答说：“喝酒的人的肚子里绝对不会有这种虫子。
HSK2	句子填空	这个工作是朋友帮我介绍的。
HSK5	排序	他把食物分配给了每个士兵。
HSK4	对话填空	这两瓶饮料有什么区别吗？左边这瓶有点儿酸，右边这瓶是甜的。
HSK4	句子填空	这儿离大使馆还有一段距离，你还是坐出租车去吧。
HSK5	排序	小狗朝主人摇了摇尾巴。
HSK4	排序	会弹钢琴的人很羡慕她。
HSK2	句子填空	我没去过中国，我希望今年能去中国旅游。
HSK3	排序	你丈夫的鼻子怎么了？
HSK1	对话填空	女：你开出租车多少年了？男：十几年了。
HSK5	完形	一个姑娘和一个小伙子结婚了，他们结婚以后的生活十分幸福。小伙子非常喜欢足球，每次电视中有足球比赛的时候，他连饭都不吃也要看。对此，年轻的妻子一点儿办法也没有。一天，电视里又播放足球比赛，丈夫坐在电视机前一动也不动，妻子跟他说话他也好像没有听到。年轻的妻子非常生气，她哭着回到自己的妈妈家，可是回到家的时候却发现家里只有爸爸一个人，也坐在电视机前看足球比赛。“妈妈呢？”她很奇怪。“回她的妈妈家了。”父亲头也不回地说。
HSK5	完形	人为什么会做梦，梦有什么意义，人类思考了近千年也还没有找到答案。但是人们相信一些常见的梦 包含着特别的意义。例如，我们梦见要出门远行，要乘坐飞机、火车或者其他交通工具，但是却晚了一点儿，没有赶上。这种梦代表你错过了人生的一次机会，当人们面对重要的选择而犹豫的时候，常做这种梦。再有，有时候我们会梦见参加考试，可是却发现自己根本读不懂考试的题目。这种梦说明你正面临挑战，但是你还没有做好准备。
HSK5	排序	她的工作表现非常突出。
HSK2	句子填空	每年都有很多人去那儿旅游。
HSK4	排序	经常阅读报纸能提高语言表达能力。
HSK3	句子填空	作业写完了要好好检查一下，注意别写错字。
HSK2	句子填空	等一下，苹果洗洗再吃。
HSK4	对话填空	经理，新的计划发您信箱了，您看了吗？内容太简单，不够详细，缺少重点，明天我们得继续讨论。
HSK6	单选	大多数人失败并非由于他们才智平庸，也不是因为运气不好，而是由于没有保持一种健康的心态，才使得自己最终无法触摸到成功的终点线。与其说他们是在与别人的竞争中失利，不如说他们败给自己不成熟的心态。
HSK1	对话填空	男：你好！王先生在吗？女：在,请坐，我去叫他。
HSK6	单选	元宵节是中国的传统节日，大部分地区的习俗是差不多的。在古代，“元宵灯会”给未婚男女相互认识提供了一个机会。那时候，年轻女孩儿不允许出外自由活动，但是过节却可以结伴出来游玩儿。元宵节赏花灯期间，就是男女青年与心爱的人约会的时机。
HSK5	排序	我们得立即采取措施。
HSK5	排序	他的这段经历有很特殊的意义。
HSK4	对话填空	语言是交流的工具，只记字典、词典里的字、词是不够的，要多听多说。对，这才是学习汉语的好方法。
HSK4	排序	那位著名的演员深受观众的喜爱。
HSK3	句子填空	有不懂的地方，就去查字典，这是一个比较好的学习习惯。
HSK3	对话填空	A：比赛要求很简单，5分钟，谁踢进的球最多，谁就是第一。B: 明白了，可以开始了吗？
HSK5	排序	会议日期不能再推迟了。
HSK3	对话填空	你终于回来了，啤酒买了吗？医生不让你喝酒吃肉。我买了些果汁和牛奶。
HSK2	句子填空	真希望明天是个晴天。
HSK4	句子填空	有人说，友谊就像酒一样，时间越长，味道越好。
HSK2	对话填空	女：喂？爸，你们住哪个房间？我去找你们。男：我和你妈住308。
HSK4	对话填空	丽丽说再等她几分钟，她马上就来。她到底在干什么呢，怎么这么慢？
HSK3	排序	我和这个学生妹见面很久了。
HSK2	句子填空	欢迎下次再来，您慢走。
HSK3	对话填空	那个药的作用怎么样？脚好些了吗？好多了，谢谢您的关心。
HSK6	单选	许多有抱负的人都忽视了积少才可以成多的道理，一心只想一鸣惊人，而不去埋头耕耘。直到有一天，他看见比自己开始晚的、比自己天资差的，都已经有了可观的收获，才发现自己这片园地上还是一无所有。这时他才明白，不是上天没有给他理想，而是他一心只等待丰收，却忘了播种。
HSK5	完形	有个人在草原上养了一群羊。草原上同时还生活着一群狼，狼一有机会就会吃羊，那些弱小的羊总是成了狼的食物。为了羊的安全，那个人决定追杀狼。一段时间后，草原上的狼基本上被杀光了，没被杀的也逃走了。因为不用担心羊被吃掉，那个人过得很悠闲，羊的数量也慢慢多起来。可是，没过多久，很多羊都生病了，今天死一只，明天死两只，没有生病的羊也越来越瘦，那个人不断地请医生给羊治病。看着羊的数量越来越少，那个人很着急，便去询问一个有经验的老人。老人告诉他：狼是羊最好的医生。于是，那个人又从别的地方把狼找了回来。从那以后，羊的病渐渐地好了起来，羊群又恢复到了以前的数量。
HSK2	句子填空	别找了，手机在桌子上呢，电脑旁边。
HSK3	排序	叔叔的太阳镜花了900块钱。
HSK2	句子填空	请进，这就是我的房间。
HSK4	排序	请按从小到大的顺序排列这些数字。
HSK2	对话填空	女：看见高老师了吗？外面有个学生找他。男：他在408教室。
HSK2	句子填空	中国人的姓在名字的前面，你写错了。
HSK4	排序	这个传真机的说明书写得很详细。
HSK5	排序	你的理由缺乏说服力。
HSK4	对话填空	那篇文章的作者是谁？我忘了他叫什么名字了，只记得他姓李。
HSK5	排序	她对角色的把握令人佩服。
HSK3	排序	他们班的学生学习很努力。
HSK3	对话填空	A：你都很长时间没锻炼了，下午和我去爬山吧。B: 我昨天刚打了篮球，今天腿还疼呢。
HSK1	对话填空	男：北京昨天天气怎么样？女：很冷。
HSK3	排序	那位医生送给他一个礼物。
HSK4	对话填空	最近怎么穿得这么正式？很精神啊。我现在开始上班了，这是公司的规定。
HSK3	排序	什么时候举行会议？
HSK3	对话填空	下一个节目是什么？下面为大家唱歌的是王医生，歌的名字是《十五的月亮》，大家欢迎！
HSK6	单选	花样游泳是女子体育项目，原为游泳比赛间歇时的水中表演项目，是游泳、舞蹈和音乐的完美结合，有“水中芭蕾”之称。它是一项艺术性很强的优雅的体育运动，但也需要力量和技巧，需要多年的训练。
HSK6	单选	中国是风筝的故乡，而潍坊是发明风筝和放飞风筝最早的地方。风筝是潍坊民间艺术中的一朵奇葩。从有文字记载至今，风筝已有2000多年历史。
HSK4	排序	这个城市决定增加出租车的数量。
HSK3	句子填空	他很高，这张桌子太低，坐着很不舒服。
HSK4	句子填空	问题越是复杂时，你越要冷静，千万别着急。
HSK4	排序	这次电影艺术节也许会在北京举行。
HSK4	句子填空	她每天都坚持走路上下班，所以身体一直很不错。
HSK3	句子填空	现在的年轻人结婚越来越晚了。
HSK6	单选	天津剪纸可谓历史悠久，兴起于清朝光绪末年，后在不断汲取和发扬中国传统剪纸工艺的基础上发展到今天。天津剪纸的艺术风格、制作方法均有独到之处。它借鉴了年画、瓷器、木雕等图案的设计，注意外形刻画，具有很高的艺术价值。
HSK1	句子填空	我在中国住了4年了。
HSK5	排序	天气原因导致蔬菜价格上涨。
HSK3	句子填空	您可以选择火车站附近的宾馆，住那儿会更方便。
HSK2	句子填空	我妹妹的孩子最喜欢问为什么。
HSK4	排序	许多饭店的年收入都超过了亿元。
HSK6	单选	北京四合院之所以有名，首先在于它的历史悠久。自元代正式建都北京，大规模建设都城时起，四合院就与北京的宫殿、衙署、街区、坊巷和胡同同时出现了。
HSK5	完形	乘坐电梯时，如果电梯突然停住了，也没有其他人发现电梯坏了，你应该怎么办？首先不要慌张，确定电梯是不是真的无法正常运行。然后，立刻按红色的电梯门铃，求救铃声一响，就会有专业的救援人员来救你。同时，也可以大声地呼救，电梯外的人有可能会听到，帮助你脱离困境。千万不要情绪激动地用力拍打电梯门，那样的话，电梯很可能会不正常地上升或下降，造成不必要的危险。
HSK6	单选	电影和城市有密切的依存关系：城市是电影的经济支撑和场地来源，而电影对促进城市旅游、城市文化以及城市和企业的宣传有着非常重要的意义。用电影引领城市，可以强化城市文化功能，营造和谐的城市文化氛围，提升城市的知名度和美誉度，从而增强城市综合竞争力。
HSK3	句子填空	为了更好地解决问题，必须提高自己的水平。
HSK4	句子填空	人在伤心难过的时候，哭一哭也许会好受一些。
HSK5	排序	我们要学会从不同的角度观察事物。
HSK5	排序	雨后常常能看到彩虹。
HSK2	句子填空	今天是26号，离我的生日还有一个多星期呢。
HSK3	句子填空	妹妹的孩子今年7岁了，应该上一年级了。
HSK5	完形	某少年认为自己最大的缺点是胆小，所以他去看心理医生。医生听了他介绍的情况后，说：“这怎么叫缺点呢，分明是个优点嘛。你只不过是非常谨慎罢了，而这样的人总是最可靠，很少出乱子。少年有些疑惑：“怎么勇敢倒成为缺点了？医生摇摇头，说：“不，勇敢是一种优点，而胆小是另一种优点。胆小和勇敢，就好像白银和黄金，人们重视黄金，但并不是说要否定白银。如果你是个战士，胆小显然是缺点；但如果你是个司机，胆小则是优点。你与其为自己的胆小而担心，还不如利用这个特点，想办法增长自己的才能。到那时候，即使你想做个胆小鬼，也很困难了。
HSK5	排序	小马一直在经营一家酒吧。
HSK5	排序	道歉的时候一定要态度诚恳。
HSK3	句子填空	天气冷，你多穿点儿衣服，小心感冒。
HSK6	单选	随着环保概念不断深入人心，动物皮草已经不再是炫耀奢华的装饰，取而代之的是同样具有高贵气质的仿皮草材料。仿真的材质、适中的价格，加以最时尚的款式，仿皮草成为越来越多爱美人士的新宠。
HSK4	句子填空	明天就可以在网上查成绩了，我估计这次考得不坏。
HSK4	排序	那本作者很有名的小说。
HSK1	对话填空	你们是怎么认识的？她是我大学同学。
HSK4	排序	请把那张表格打印两份。
HSK3	句子填空	明天早上我先去银行，然后再去找你。
HSK3	排序	马和羊都喜欢吃草。
HSK5	排序	这种产品主要针对中老年消费者。
HSK2	句子填空	等我打完这个电话，我去找你。
HSK4	排序	没人知道校长反对的原因。
HSK4	对话填空	张律师，这份申请材料要复印几份？先印8份，一会儿你印好以后直接送到会议室吧。
HSK4	排序	打针比吃药效果好。
HSK2	句子填空	她家离公司很近，走路15分钟就能到。
HSK4	句子填空	别看王师傅个子没你高，力气却比你大多了，你信不信？
HSK4	排序	抽烟对身体没有好处。
HSK3	句子填空	电影马上就要开始了，把手机关了吧。
HSK6	单选	植物对室内环境的净化与植物的叶面表面积有直接关系，所以，植株的高低、冠径的大小、绿叶的大小都会影响到净化效果。
HSK5	排序	这个理论被应用到很多领域。
HSK4	对话填空	这事你跟她商量了吗？还没，她最近在忙公司的事情，我怕打扰她。
HSK4	排序	那个又脏又破白色的盒子
HSK2	句子填空	喝牛奶前，先吃个鸡蛋吧。
HSK6	单选	是不是有人不做梦呢？绝大部分科学家相信所有人都会做梦。如果有人认为自己没有做梦或者很少做梦，那是因为他们醒来后将梦中的情形全部忘记了。有研究表明，无梦睡眠不仅质量不好，而且还是大脑受到损害或有病的一种征兆。
HSK4	句子填空	这种裙子最近很流行，我也想去买一条。
HSK2	句子填空	今天下午我们在哪个教室上课？
HSK4	对话填空	最近我总是咳嗽，吃点儿什么药好？以后别抽烟了好不好？等身体出现问题了，后悔就来不及了。
HSK3	对话填空	我画完了，您看看，满意吗？好极了，你画得越来越好了。
HSK6	单选	有这样一群人，他们热爱工作，只要工作需要，他们就会变换住处，甚至变换生活的城市，所以他们习惯搬家。
HSK2	句子填空	我希望能和你在一起。
HSK5	完形	有个楚国人乘船渡江，一不小心，把自己的剑掉进了江里。他急忙在船上刻了一个记号，说：“我的剑就是从这儿掉下去的。船靠岸后，这个人顺着船上的记号下水去找剑，但找了半天也没有找到。船已经走了很远，而剑却还在原来的地方，根据那个记号怎么能找回丢失的剑呢。这个故事告诉我们，世界上的事物，总是在不断地发展变化，人们想问题、办事情，都应当考虑到这种变化，适应这种变化。
HSK4	排序	下雨后空气很湿润。
HSK3	句子填空	听张先生说，机场附近那个宾馆的环境不错。
HSK3	对话填空	A：儿子，快起床，外面天气非常好，我们出去跑跑步。B: 今天是周末，您让我再睡一会儿吧。
HSK4	排序	他说的问题超出了今天讨论的范围。
HSK3	排序	上午的考试比较简单
HSK5	排序	他的勇气很让我佩服。
HSK3	排序	这个城市的环境变得越来越好了。
HSK3	句子填空	那个会议要在我们学校举行，所以老师们最近特别忙。
HSK3	对话填空	一共只有两个月？那好吧。
HSK5	完形	有人问一位智者：“我觉得自己很有能力，可为什么没人欣赏我呢？”智者随手捡起一块石头向远处扔去，接着叫他去捡回来，他说做不到。智者于是又扔出一块黄金，然后再叫他捡回来，结果很快他就回来了，同时也找到了答案。当一个人总是抱怨为什么自己未被发现时，何不反过来想一下自己在别人眼中是否只是一块石头？假如自己真是一块石头，就应该使自己变成一块黄金。
HSK2	对话填空	女：你新买的车是什么颜色的？男：黑色的。
HSK3	对话填空	你有什么爱好？我喜欢体育。
HSK5	完形	一个心理学家请一些实验者在周日晚上，把过去7天所有可能发生的烦恼写下来，放到一个箱子里。7天后，他在实验者面前打开这个箱子，与他们逐一核对每一项“烦恼”，结果发现其中有90%的“烦恼”并未真正发生。接着，他又要求大家把那些剩下的字条重新丢入纸箱中。等又过了7天，他们打开箱子，发现那些烦恼也不再是烦恼了。烦恼是自己找来的，这就是所谓的“自寻烦恼”。据统计，一般人92%的忧虑从未发生过，剩下的8%则是你能够轻易应付的。
HSK5	排序	他把日程已经安排好了。
HSK5	完形	在沙滩排球场上，半躺在沙滩椅中，头顶着蓝天，脚下踩着软软的细沙，吹着海风，享受那份惬意。阳光下，球场两边各有两名戴着着太阳眼镜、晒得一身古铜色皮肤的运动员在网前争夺。满身的沙子，还有满身的汗水，在蓝天白云的衬托下，阳光的照射下，动感而充满活力。
HSK4	句子填空	我本来已经打算放弃了，可是他的话让我改变了主意。
HSK5	排序	要是能永远保持年轻就好了。
HSK2	句子填空	你知道吗？一年有8700多个小时。
HSK4	句子填空	春节时，最受欢迎的食品是饺子，尤其是在中国北方。
HSK5	排序	偶尔他会去健身房锻炼。
HSK6	单选	纳西族算不上是一个大民族，但是它的东巴文化却名扬中外，引起世人的兴趣和关注。东巴文化包括象形文字、东巴经、东巴绘画、音乐、舞蹈等。其中东巴象形文字被誉为目前世界唯一存活着的象形文字。
HSK1	句子填空	中国人喜欢喝茶。
HSK6	单选	任何大的成功，都是从小事一点一滴积累而来的。没有做不到的事，只有不肯做的人。想想你曾经历过的失败，当时的你真的用尽全力试过各种办法了吗？困难不会是成功的障碍，只有你自己才可能是一个最大的绊脚石。
HSK4	排序	普通话以北京语音为标准音。
HSK4	排序	加油站附近禁止打电话。
HSK4	句子填空	这儿写着“禁止停车”，他们只好把车停在那边了。
HSK6	单选	喜鹊是自古以来深受人们喜爱的鸟类，是好运与福气的象征。喜鹊登梅是中国画中非常常见的题材，它还经常出现在中国传统诗歌、对联中。此外，在中国的民间传说中，每年的七夕，人间所有的喜鹊会飞上天河，搭起一座鹊桥，让分离的牛郎和织女相会，因而在中华文化中鹊桥常常成为男女情缘的象征。
HSK3	对话填空	这是一个多么好的机会啊！你必须去。
HSK2	句子填空	我介绍一下，这是我弟弟。
HSK2	句子填空	请问，您是谢老师吗？
HSK3	句子填空	蓝天，白云，绿树，那儿的环境真好。
HSK2	句子填空	右边那个杯子是我的。
HSK3	句子填空	对一个女人来说，漂亮、聪明都很重要，但其实更重要的是快乐。
HSK6	单选	眼见为实，我们总是相信自己亲眼看到的东西，认为只有亲眼所见，才是真实可靠的。然而有时候我们亲眼看到的却常常与真实相悖，视觉上的错觉常常会欺骗许多自以为是的头脑。
HSK4	句子填空	这个问题有点儿复杂，你耐心听我给你解释一下好吗？
HSK6	单选	一般情况下，10平米左右的房间，1.5米高的植物放两盆比较合适。挺起胸可以使肺活量增加20%左右，从而有利于促进新陈代谢。肺活量增加了，身体各部位获得的氧气便也增加了，这样人就不容易疲劳。
HSK4	排序	一个合格的警察最需要的是责任感。
HSK3	对话填空	A：照片上骑马的这个人是你爸爸？B: 是的，那时他刚参加工作，很年轻。
HSK6	单选	自立就像支撑我们身体的骨架，使我们能站立，能自由行走，而不需要别人的搀扶；依赖则像一个正常人拄拐杖，虽然可以借助拐杖的力量使自己舒服，但是时间长了，骨架就会退化，我们可能将永远无法自己站立。
HSK4	对话填空	真让人受不了！一个简单的动作让我们练二三十遍。老师对你们严格些好，可以让你们打好基础。
HSK5	排序	班主任家的电话一直占线。
HSK3	对话填空	现在几点了？我的手表又坏了。我看一下，现在差一刻九点。
HSK4	对话填空	咱们把沙发往窗户那儿抬一下，这样看电视更舒服些。别开玩笑了，我们俩抬不动，最好等你爸爸回来再弄。
HSK5	排序	他被那所名牌大学录取了。
HSK2	句子填空	昨天的考试题太多，我没有做完。
HSK5	排序	请重新输入您的密码。
HSK4	对话填空	我的肚子在叫了，早上只吃了一小块儿蛋糕。饿了？我包里有巧克力，给你。
HSK5	排序	门上挂着游人止步的牌子。
HSK5	排序	他把电脑里的文件删除了。
HSK4	排序	妹妹弹钢琴的声音把爷爷吵醒了。
HSK3	对话填空	A：怎么样，这房子您还满意吧？B: 很不错，但我还想看看其他的。
HSK4	排序	那座山看起来像一头牛。
